,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure
125986,228602a3-cb3c-40c0-a358-7679790d78fc,60,Eibar,From Free Kick,Eibar,José Ángel Valdés Díaz,"[119.1, 43.3, 1.0]",Left Back,"[100.9, 57.3]",0.917557,,Saved,Free Kick,303731,
125987,92fd0bf5-76ad-4c3c-88bc-3d48ec376d18,60,Eibar,From Corner,Eibar,Takashi Inui,"[118.9, 39.6, 0.7]",Left Wing,"[100.4, 32.8]",0.839146,,Saved,Open Play,303731,
125988,5a7b7505-e1dc-46e8-bfbc-830586d28cd0,62,Eibar,Regular Play,Eibar,Takashi Inui,"[109.3, 31.2]",Left Wing,"[106.1, 23.7]",0.23516,,Blocked,Open Play,303731,
125989,a8aa8fca-9a0b-4251-9d5e-80d8166e5634,64,Eibar,From Corner,Eibar,Eduardo Expósito Jaén,"[104.5, 50.5]",Left Defensive Midfield,"[99.7, 52.5]",0.139664,,Blocked,Open Play,303731,
125990,c21675d4-fce1-4aa9-b0f7-ecc956a0d057,66,Eibar,From Throw In,Eibar,Pablo Ezequiel De Blasis,"[117.5, 35.9, 0.4]",Left Wing,"[111.5, 28.3]",0.457286,,Saved,Open Play,303731,
125991,46625a43-5f0d-4940-86ce-d9d934f32a47,73,Eibar,Regular Play,Eibar,Fabián Ariel Orellana Valenzuela,"[120.0, 32.1, 0.5]",Right Wing,"[107.3, 56.7]",1.481602,,Off T,Open Play,303731,
125992,9b0431ec-7fcf-4dd8-ad14-34c88a72a230,77,Eibar,Regular Play,Eibar,Fabián Ariel Orellana Valenzuela,"[98.7, 47.6]",Right Wing,"[97.3, 47.7]",0.146923,,Blocked,Open Play,303731,True
125993,8034279a-0e32-4be1-8f1d-433a5984e056,78,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[119.4, 38.2, 3.4]",Right Wing,"[91.4, 37.9]",1.140984,,Saved Off Target,Free Kick,303731,
125994,17c2fd69-d646-41c9-8b1f-b34c210463dd,86,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 37.6, 0.4]",Right Wing,"[116.2, 36.1]",0.155287,,Goal,Open Play,303731,
125995,01b7fed8-2356-4480-8c1b-53ca8aea55a4,88,Barcelona,Regular Play,Barcelona,Martin Braithwaite Christensen,"[115.2, 34.4, 0.5]",Center Forward,"[110.7, 29.4]",0.295647,True,Saved,Open Play,303731,
125996,c022225f-69b6-41d2-97c5-f9fd1bdd3193,88,Barcelona,Regular Play,Barcelona,Arthur Henrique Ramos de Oliveira Melo,"[120.0, 41.6, 0.4]",Left Center Midfield,"[114.4, 42.4]",0.350453,,Goal,Open Play,303731,
125997,7cf4ece2-6b8d-42a9-bb8c-014aa5b6bcb3,10,Leganés,Regular Play,Leganés,Miguel Ángel Guerrero Martín,"[118.2, 40.3]",Left Center Forward,"[111.9, 45.6]",0.386225,,Blocked,Open Play,303532,
125998,c383ca9d-db47-4a0e-b8ba-676011f67844,12,Leganés,From Free Kick,Leganés,Miguel Ángel Guerrero Martín,"[117.4, 0.1]",Left Center Forward,"[116.0, 50.2]",0.983769,,Wayward,Open Play,303532,
125999,4a1cd66f-ca60-41ec-89e4-481a38880c14,29,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[120.0, 45.6, 3.1]",Center Forward,"[109.1, 39.0]",1.060428,True,Off T,Open Play,303532,
126000,170a76d3-68ad-4d9b-b15c-5ed4dc43cc0b,39,Barcelona,From Corner,Barcelona,Clément Lenglet,"[120.0, 73.6, 0.2]",Left Center Back,"[110.7, 37.2]",3.349752,,Off T,Open Play,303532,True
126001,6c4e31fd-e8df-4711-997b-cb89b1e6a022,41,Barcelona,From Throw In,Barcelona,Anssumane Fati,"[120.0, 42.4, 0.1]",Left Wing,"[103.0, 33.2]",1.237695,,Goal,Open Play,303532,True
126002,2fde3691-becc-4214-85dd-660323929c35,43,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 34.0, 1.0]",Right Wing,"[109.7, 38.7]",1.001937,,Off T,Open Play,303532,True
126003,00837bb7-a25b-4219-bdac-7961b652f17e,50,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[118.8, 43.1, 1.0]",Right Wing,"[89.8, 52.9]",1.162544,,Saved,Free Kick,303532,
126004,0c7fa405-09c8-4869-8aa8-db5114710d45,53,Leganés,From Throw In,Leganés,Roger Claver Assalé Djapone,"[117.7, 40.4, 0.2]",Left Center Forward,"[95.0, 31.9]",0.96383,,Saved,Open Play,303532,
